Freq.	V(mc)	V(mm)
5.26053598379071e+004	(-3.97218579596747e+001dB,7.80086921503717e+001°)	(-1.64000456540146e+001dB,7.80086921503717e+001°)
5.38306960785378e+004	(-3.95285336092922e+001dB,7.78183578461696e+001°)	(-1.62067213036321e+001dB,7.78183578461696e+001°)
5.50845740667628e+004	(-3.93354862163682e+001dB,7.76220417185229e+001°)	(-1.60136739107081e+001dB,7.76220417185229e+001°)
5.63676586252885e+004	(-3.91427291419691e+001dB,7.74196717267880e+001°)	(-1.58209168363091e+001dB,7.74196717267880e+001°)
5.76806300625316e+004	(-3.89502762360760e+001dB,7.72111747944449e+001°)	(-1.56284639304159e+001dB,7.72111747944449e+001°)
5.90241845333271e+004	(-3.87581418555659e+001dB,7.69964769041139e+001°)	(-1.54363295499058e+001dB,7.69964769041139e+001°)
6.03990344080397e+004	(-3.85663408822977e+001dB,7.67755031997475e+001°)	(-1.52445285766376e+001dB,7.67755031997475e+001°)
6.18059086502712e+004	(-3.83748887412626e+001dB,7.65481780963619e+001°)	(-1.50530764356025e+001dB,7.65481780963619e+001°)
6.32455532033670e+004	(-3.81838014187553e+001dB,7.63144253976821e+001°)	(-1.48619891130952e+001dB,7.63144253976821e+001°)
6.47187313859250e+004	(-3.79930954805168e+001dB,7.60741684220713e+001°)	(-1.46712831748567e+001dB,7.60741684220713e+001°)
6.62262242965176e+004	(-3.78027880897929e+001dB,7.58273301371223e+001°)	(-1.44809757841329e+001dB,7.58273301371223e+001°)
6.77688312278398e+004	(-3.76128970252481e+001dB,7.55738333032835e+001°)	(-1.42910847195880e+001dB,7.55738333032835e+001°)
6.93473700905056e+004	(-3.74234406986652e+001dB,7.53136006268897e+001°)	(-1.41016283930052e+001dB,7.53136006268897e+001°)
7.09626778467144e+004	(-3.72344381723590e+001dB,7.50465549229604e+001°)	(-1.39126258666989e+001dB,7.50465549229604e+001°)
7.26156109540195e+004	(-3.70459091762186e+001dB,7.47726192881197e+001°)	(-1.37240968705585e+001dB,7.47726192881197e+001°)
7.43070458194337e+004	(-3.68578741242929e+001dB,7.44917172839752e+001°)	(-1.35360618186328e+001dB,7.44917172839752e+001°)
7.60378792641115e+004	(-3.66703541308197e+001dB,7.42037731312784e+001°)	(-1.33485418251596e+001dB,7.42037731312784e+001°)
7.78090289988553e+004	(-3.64833710255960e+001dB,7.39087119151643e+001°)	(-1.31615587199359e+001dB,7.39087119151643e+001°)
7.96214341106986e+004	(-3.62969473685743e+001dB,7.36064598017429e+001°)	(-1.29751350629142e+001dB,7.36064598017429e+001°)
8.14760555608217e+004	(-3.61111064635662e+001dB,7.32969442662802e+001°)	(-1.27892941579061e+001dB,7.32969442662802e+001°)
8.33738766940662e+004	(-3.59258723709215e+001dB,7.29800943331697e+001°)	(-1.26040600652614e+001dB,7.29800943331697e+001°)
8.53159037603176e+004	(-3.57412699190465e+001dB,7.26558408278509e+001°)	(-1.24194576133864e+001dB,7.26558408278509e+001°)
8.73031664480323e+004	(-3.55573247146135e+001dB,7.23241166407782e+001°)	(-1.22355124089535e+001dB,7.23241166407782e+001°)
8.93367184301917e+004	(-3.53740631513079e+001dB,7.19848570034883e+001°)	(-1.20522508456478e+001dB,7.19848570034883e+001°)
9.14176379229740e+004	(-3.51915124169477e+001dB,7.16379997767460e+001°)	(-1.18697001112876e+001dB,7.16379997767460e+001°)
9.35470282574386e+004	(-3.50097004988074e+001dB,7.12834857506764e+001°)	(-1.16878881931473e+001dB,7.12834857506764e+001°)
9.57260184645266e+004	(-3.48286561869649e+001dB,7.09212589567093e+001°)	(-1.15068438813048e+001dB,7.09212589567093e+001°)
9.79557638736882e+004	(-3.46484090754874e+001dB,7.05512669910726e+001°)	(-1.13265967698273e+001dB,7.05512669910727e+001°)
1.00237446725453e+005	(-3.44689895612648e+001dB,7.01734613494720e+001°)	(-1.11471772556047e+001dB,7.01734613494720e+001°)
1.02572276798272e+005	(-3.42904288402932e+001dB,6.97877977724883e+001°)	(-1.09686165346332e+001dB,6.97877977724883e+001°)
1.04961492049953e+005	(-3.41127589012076e+001dB,6.93942366011082e+001°)	(-1.07909465955476e+001dB,6.93942366011082e+001°)
1.07406359274049e+005	(-3.39360125158593e+001dB,6.89927431416786e+001°)	(-1.06142002101992e+001dB,6.89927431416786e+001°)
1.09908174771524e+005	(-3.37602232267320e+001dB,6.85832880394450e+001°)	(-1.04384109210719e+001dB,6.85832880394450e+001°)
1.12468265038069e+005	(-3.35854253309917e+001dB,6.81658476596911e+001°)	(-1.02636130253316e+001dB,6.81658476596911e+001°)
1.15087987467430e+005	(-3.34116538609640e+001dB,6.77404044753529e+001°)	(-1.00898415553039e+001dB,6.77404044753529e+001°)
1.17768731071117e+005	(-3.32389445608413e+001dB,6.73069474598224e+001°)	(-9.91713225518122e+000dB,6.73069474598224e+001°)
1.20511917214870e+005	(-3.30673338594228e+001dB,6.68654724835005e+001°)	(-9.74552155376274e+000dB,6.68654724835005e+001°)
1.23319000372295e+005	(-3.28968588387042e+001dB,6.64159827124928e+001°)	(-9.57504653304411e+000dB,6.64159827124928e+001°)
1.26191468896037e+005	(-3.27275571981405e+001dB,6.59584890076748e+001°)	(-9.40574489248044e+000dB,6.59584890076748e+001°)
1.29130845806930e+005	(-3.25594672144234e+001dB,6.54930103221858e+001°)	(-9.23765490876329e+000dB,6.54930103221858e+001°)
1.32138689601518e+005	(-3.23926276966280e+001dB,6.50195740952436e+001°)	(-9.07081539096794e+000dB,6.50195740952436e+001°)
1.35216595078395e+005	(-3.22270779366084e+001dB,6.45382166400073e+001°)	(-8.90526563094829e+000dB,6.45382166400073e+001°)
1.38366194183786e+005	(-3.20628576545398e+001dB,6.40489835230534e+001°)	(-8.74104534887972e+000dB,6.40489835230534e+001°)
1.41589156876826e+005	(-3.19000069395381e+001dB,6.35519299328833e+001°)	(-8.57819463387803e+000dB,6.35519299328833e+001°)
1.44887192014996e+005	(-3.17385661853122e+001dB,6.30471210347349e+001°)	(-8.41675387965212e+000dB,6.30471210347349e+001°)
1.48262048260182e+005	(-3.15785760208427e+001dB,6.25346323088450e+001°)	(-8.25676371518261e+000dB,6.25346323088450e+001°)
1.51715515005835e+005	(-3.14200772361157e+001dB,6.20145498691990e+001°)	(-8.09826493045560e+000dB,6.20145498691990e+001°)
1.55249423325737e+005	(-3.12631107029810e+001dB,6.14869707597117e+001°)	(-7.94129839732090e+000dB,6.14869707597117e+001°)
1.58865646944855e+005	(-3.11077172912482e+001dB,6.09520032247176e+001°)	(-7.78590498558811e+000dB,6.09520032247176e+001°)
1.62566103232818e+005	(-3.09539377801795e+001dB,6.04097669506068e+001°)	(-7.63212547451941e+000dB,6.04097669506068e+001°)
1.66352754220532e+005	(-3.08018127655873e+001dB,5.98603932754318e+001°)	(-7.48000045992718e+000dB,5.98603932754318e+001°)
1.70227607640473e+005	(-3.06513825627947e+001dB,5.93040253633344e+001°)	(-7.32957025713459e+000dB,5.93040253633344e+001°)
1.74192717991214e+005	(-3.05026871057697e+001dB,5.87408183406968e+001°)	(-7.18087480010962e+000dB,5.87408183406968e+001°)
1.78250187626747e+005	(-3.03557658427958e+001dB,5.81709393910216e+001°)	(-7.03395353713569e+000dB,5.81709393910216e+001°)
1.82402167871180e+005	(-3.02106576290952e+001dB,5.75945678056769e+001°)	(-6.88884532343509e+000dB,5.75945678056769e+001°)
1.86650860159396e+005	(-3.00674006168741e+001dB,5.70118949878285e+001°)	(-6.74558831121406e+000dB,5.70118949878285e+001°)
1.90998517204285e+005	(-2.99260321433093e+001dB,5.64231244070970e+001°)	(-6.60421983764920e+000dB,5.64231244070970e+001°)
1.95447444191160e+005	(-2.97865886170441e+001dB,5.58284715027467e+001°)	(-6.46477631138407e+000dB,5.58284715027467e+001°)
2.00000000000000e+005	(-2.96491054038107e+001dB,5.52281635335221e+001°)	(-6.32729309815061e+000dB,5.52281635335221e+001°)
